Claim Title	Claim	Verdict	Author	Domain
Noi la Senat, PSD și ALDE, avem în plus 13. Deci pe plenul reunit, avem 20-30 de voturi în plus.	Noi la Senat, PSD și ALDE, avem în plus 13. Deci pe plenul reunit, avem 20-30 de voturi în plus.	PARȚIAL ADEVĂRAT	Liviu Dragnea	Politica
Vă spun o cifră care este halucinantă, care este din statistica penitenciarelor. Dacă, în pușcăriile din Europa, media detenției este undeva la șapte luni, la noi depășește șapte ani. Asta înseamnă că trebuie să facem ceva mult mai mult în acest sens.	Vă spun o cifră care este halucinantă, care este din statistica penitenciarelor. Dacă, în pușcăriile din Europa, media detenției este undeva la șapte luni, la noi depășește șapte ani. Asta înseamnă că trebuie să facem ceva mult mai mult în acest sens.	FALS	Vasile Dîncu	Justitie
Dacă e să ne uităm la diferența între declarații publice și votul efectiv, o să vedeți de exemplu că în cazul Pro România, mult mai mulți membri ai grupului parlamentar au votat și celelalte guverne, deși Victor Ponta anunțase că nu va fi un vot de exemplu pentru Guvernul Orban II. Dacă vă uitați la ALDE, e aceeași situație, au fost mai mulți parlamentari care au votat Guvernul (…).	Dacă e să ne uităm la diferența între declarații publice și votul efectiv, o să vedeți de exemplu că în cazul Pro România, mult mai mulți membri ai grupului parlamentar au votat și celelalte guverne, deși Victor Ponta anunțase că nu va fi un vot de exemplu pentru Guvernul Orban II. Dacă vă uitați la ALDE, e aceeași situație, au fost mai mulți parlamentari care au votat Guvernul (…).	ADEVĂRAT	Florin Roman	Politica
„Guvernul PNL a avut deja, în primele 9 luni de guvernare, investiții de 30 miliarde lei - adică mai mult decât s-a investit în anii 2016 și 2017, când era creștere economică și nici vorbă de pandemie.”	„Guvernul PNL a avut deja, în primele 9 luni de guvernare, investiții de 30 miliarde lei - adică mai mult decât s-a investit în anii 2016 și 2017, când era creștere economică și nici vorbă de pandemie.”	TRUNCHIAT	Alina Gorghiu	Finante
[...] Când tu însuți ești condamnat pentru modul în care ai obținut niște case (nr. președintele României) [...]	[...] Când tu însuți ești condamnat pentru modul în care ai obținut niște case (nr. președintele României) [...]	FALS	Călin Popescu Tăriceanu	Politica
"După mai bine de șase luni, în fruntea Ministerului Sănătății, domnul Rafila de la PSD (...) nu a inițiat niciun proiect de investiții""."	După mai bine de șase luni în fruntea Ministerului Sănătății, domnul Rafila de la PSD nu a adus nicio îmbunătățire sistemului de sănătate, nu a inițiat niciun proiect de investiții.	ADEVĂRAT	Andrei Lupu	Politica
Vreau să fac o precizare. Nu a crescut [bugetul] nici la SRI, nici la SIE. [...] Ceea ce s-a alocat pentru SRI şi pentru SIE este numai în vedere salarizării.	„Vreau să fac o precizare. Nu a crescut nici la SRI, nici la SIE. La începutul anului, în CSAT, am aprobat bugetul pentru serviciile de informaţii, fie că vorbim de SIE, fie că vorbim de SRI, astfel încât să asigurăm salariile până la sfârşitul anului. Dacă vă amintiţi, am mers în Parlament şi bugetul a fost tăiat. Ceea ce s-a alocat pentru SRI şi pentru SIE este numai în vedere salarizării, nu pentru alte obiective”	FALS	Viorica Dăncilă	Finante
„Premierul olandez, Mark Rutte, a declarat joi, la summitul UE de la Sibiu, că România va fi pregătită de admiterea în spațiul Schengen când se va conforma regulilor statului de drept și democrației, lăsând de înțeles că nu se va întâmpla curând.[...]Un exemplu elocvent este opoziția sistematică a intrării României și Bulgariei în Schengen, deși de șapte ani îndeplinesc toate condițiile tehnice!”	„Premierul olandez, Mark Rutte, a declarat joi, la summitul UE de la Sibiu, că România va fi pregătită de admiterea în spațiul Schengen când se va conforma regulilor statului de drept și democrației, lăsând de înțeles că nu se va întâmpla curând.[...]Un exemplu elocvent este opoziția sistematică a intrării României și Bulgariei în Schengen, deși de șapte ani îndeplinesc toate condițiile tehnice!”	ADEVĂRAT	Maria Grapini	Externe
Este fără precedent, în ultimii 20 de ani, ca în luna aprilie să nu te închizi cu veniturile și să dai din colț în colț.	„PSD și PNL au creat un dezastru bugetar. Este fără precedent, în ultimii 20 de ani, ca în luna aprilie să nu te închizi cu veniturile și să dai din colț în colț. În toate aceste discuții din coaliție vedem o bătaie de joc”.	TRUNCHIAT	Cătălin Drulă	Finante
Parlamentarii nu au imunitate decât pentru declarații politice	Parlamentarii nu au imunitate decât pentru ceea ce sunt declarații politice (…) Când vorbim de solicitarea parchetului pentru un parlamentar, nimic nu oprește ancheta procurorilor să meargă [mai departe] și [nimic nu oprește] persoana care este vizată [sau], acuzată să fie trimisă în instanță, judecată și chiar condamnată. Deci nu se bucură parlamentarii din acest punct de vedere de nici un fel de imunitate. Există acest filtru suplimentar de încuviințare a arestării (…)	PARȚIAL ADEVĂRAT	Călin Popescu Tăriceanu	Politica
Avem în prezent 22.884 de deţinuti şi tot astăzi în sistemul penitenciar avem încadraţi 12.795 de funcţionari cu statut special. Este îmbucurător că numărul deţinutilor se află pe un trend descendent. Numărul zilnic al celor care ies din penitenciare este mai mare decât numărul celor care intră în penitenciare.	Avem în prezent 22.884 de deţinuti şi tot astăzi în sistemul penitenciar avem încadraţi 12.795 de funcţionari cu statut special. Este îmbucurător că numărul deţinutilor se află pe un trend descendent. Numărul zilnic al celor care ies din penitenciare este mai mare decât numărul celor care intră în penitenciare.	ADEVĂRAT	Tudorel Toader	Justitie
România nu a absorbit până acum niciun ban din cele 302 milioane de euro alocate țării noastre prin Inițiativa pentru Ocuparea Tinerilor, în exercițiul financiar 2014 - 2020	România nu a absorbit până acum niciun ban din cele 302 milioane de euro alocate țării noastre prin Inițiativa pentru Ocuparea Tinerilor, în exercițiul financiar 2014 – 2020. Vorbim, așadar, de o rată de absorbție de 0% a fondurilor destinate ocupării tinerilor, deși au trecut 4 ani și jumătate de la lansarea noului cadru financiar multianual. […] Din cauza dezinteresului total al guvernelor PSD – ALDE, șomajul în rândul tinerilor din România s-a situat la 16,8% în martie 2018. Concret, 1 din 6 tineri români nu are un loc de muncă.	ADEVĂRAT	Siegfried Mureșan	Politica
„În guvernarea de tristă amintire din perioada 2017-2019 România a avut cea mai mare rată a inflației din UE TREI ANI LA RAND. Rata inflației a depășit 5%.”	„În guvernarea de tristă amintire din perioada 2017-2019 România a avut cea mai mare rată a inflației din UE TREI ANI LA RAND. Rata inflației a depășit 5%.”	FALS	Florin Cîțu	Economie
Refuzul presedintelui Romaniei de a convoca de urgenta CSAT pentru avizarea proiectului rectificarii bugetare poate periclita nu doar veniturile categoriilor cele mai vulnerabile, adica pensionarii, mamele si copiii, ci si accesul pacientilor la serviciile medicale.	Refuzul presedintelui Romaniei de a convoca de urgenta CSAT pentru avizarea proiectului rectificarii bugetare poate periclita nu doar veniturile categoriilor cele mai vulnerabile, adica pensionarii, mamele si copiii, ci si accesul pacientilor la serviciile medicale.	FALS	Guvernul României	Politica
84% din deficitul bugetar al României a mers către investiții publice în 2024.	84% din deficitul bugetar al României a mers către investiții publice în 2024.	TRUNCHIAT	Marcel Ciolacu	Economie
Pe bugetul votat în Parlament la sfârşitul anului trecut pentru anul acesta, bugetul pe investiţii este mai mare cu 43% decât anul trecut.	Pe bugetul votat în Parlament la sfârşitul anului trecut pentru anul acesta, bugetul pe investiţii este mai mare cu 43% decât anul trecut.	FALS	Petre Florin Manole	Finante
Jurnalist: Dar aveau dreptul să participe la ședință? Erau înscrise pe listă persoanele respective? Gabriela Firea: Sub nicio formă, pentru că dacă ar fi avut dreptul erau pe acea listă, așa cum au intrat practic cei 30 și ceva de cetățeni din București și au luat loc în sala de ședință. Ceilalți care nu s-au înscris au venit doar să facă scandal (…)	Jurnalist: Dar aveau dreptul să participe la ședință? Erau înscrise pe listă persoanele respective? Gabriela Firea: Sub nicio formă, pentru că dacă ar fi avut dreptul erau pe acea listă, așa cum au intrat practic cei 30 și ceva de cetățeni din București și au luat loc în sala de ședință. Ceilalți care nu s-au înscris au venit doar să facă scandal (…)	FALS	Gabriela Firea	Politica
"În Europa, partidele politice, atunci când participă la guvernare, vin cu președintele partidului în funcția de prim-ministru""."	"În Europa, partidele politice, atunci când participă la guvernare, vin cu președintele partidului în funcția de prim-ministru""."	FALS	Ciprian Dobre	Politica
1,2 milioane de români sunt plătiți cu salariul minim pe economie, astfel încât directiva va avea un impact direct asupra lor plus indicatori economici care prezintă reușitele PSD	1,2 milioane de români sunt plătiți cu salariul minim pe economie, astfel încât directiva va avea un impact direct asupra lor plus indicatori economici care prezintă reușitele PSD	TRUNCHIAT	Ștefan Radu Oprea	Politica
Toată lumea a înțeles că nu sunt bani. Realitatea nu este aceasta. Bani sunt! MApN are un buget și execuția generală a bugetului, până la această oră, este de 39,5%. În ceea ce privește drepturile de personal, execuția bugetară e de 72,71%. Chestiunea de care ne-am lovit este una de natură tehnică, respectiv trecerea din trimestrul 4 în trimestrul 3 a unor sume de bani care să ne permită plata tuturor drepturilor salariale la data de 15.	Toată lumea a înțeles că nu sunt bani. Realitatea nu este aceasta. Bani sunt! MApN are un buget și execuția generală a bugetului, până la această oră, este de 39,5%. În ceea ce privește drepturile de personal, execuția bugetară e de 72,71%. Chestiunea de care ne-am lovit este una de natură tehnică, respectiv trecerea din trimestrul 4 în trimestrul 3 a unor sume de bani care să ne permită plata tuturor drepturilor salariale la data de 15.	PARȚIAL FALS	Adrian Țuțuianu	Finante
 […] membrii PNL au condus, atât regia de termoficare din cauza căreia suferim şi acum, membrii PNL au condus destinele acestui oraş, pentru că au avut ani de zile majoritatea în Consiliul General.	 […] membrii PNL au condus, atât regia de termoficare din cauza căreia suferim şi acum, membrii PNL au condus destinele acestui oraş, pentru că au avut ani de zile majoritatea în Consiliul General.	TRUNCHIAT	Gabriela Firea	Politica
„Am suplimentat bugetul investițiilor cu 15,7 miliarde de lei față de anul trecut.” Avem cea mai mare creștere din toate timpurile la bugetul educației – un plus de peste 10 miliarde față de anul 2018. Anul trecut am avut o creștere economică de 3 ori mai mare decât media europeană. Veniturile la bugetul de stat au ajuns la cel mai mare nivel din toate timpurile.”	„Am suplimentat bugetul investițiilor cu 15,7 miliarde de lei față de anul trecut.” Avem cea mai mare creștere din toate timpurile la bugetul educației – un plus de peste 10 miliarde față de anul 2018. Anul trecut am avut o creștere economică de 3 ori mai mare decât media europeană. Veniturile la bugetul de stat au ajuns la cel mai mare nivel din toate timpurile.”	FALS	Viorica Dăncilă	Finante
Asistăm la un moment istoric, în care pompierii și situațiile de urgență în general sunt considerate de importanță strategică pentru populație și pentru țară. La nivel național, s-au alocat fonduri fără precedent și aici vorbesc de aproape 600 de milioane de euro alocate situațiilor de urgență de către Guvern. Premierul a decis să le aloce din fonduri europene, să ne permită să ne dotăm cu tot ce este nevoie, să eliminăm tot ce este mai vechi de 30 de ani, de 25 de ani, să venim mai aproape și mai eficient de populație.	“Asistăm la un moment istoric, în care pompierii și situațiile de urgență în general sunt considerate de importanță strategică pentru populație și pentru țară. La nivel național, s-au alocat fonduri fără precedent și aici vorbesc de aproape 600 de milioane de euro alocate situațiilor de urgență de către Guvern. Premierul a decis să le aloce din fonduri europene, să ne permită să ne dotăm cu tot ce este nevoie, să eliminăm tot ce este mai vechi de 30 de ani, de 25 de ani, să venim mai aproape și mai eficient de populație.	FALS	Raed Arafat	Politica
În medie, m-am uitat pe anul trecut, de când au venit la guvernare până în decembrie 2022, deci un an și două luni de guvernare, au băgat în medie 1.700 de oameni pe lună în sistemul bugetar, adică un mic orășel și-a găsit de lucru la stat de la PNL și PSD.	Ei sunt numai despre cum își angajează oamenii… Deci PNL și PSD au devenit cele mai mari agenții de plasare a forței de muncă de la partid la stat. În medie, m-am uitat pe anul trecut, de când au venit la guvernare până în decembrie 2022, deci un an și două luni de guvernare, au băgat în medie 1.700 de oameni pe lună în sistemul bugetar, adică un mic orășel și-a găsit de lucru la stat de la PNL și PSD. Asta i-a interesat…	PARȚIAL ADEVĂRAT	Ionuț Moșteanu	Politica
„Situația este și mai proastă pentru investițiile publice, care sunt mai mici cu 100 de milioane de lei față de anul 2018, anul cu cele mai scăzute investiții din ultimii 15 ani.”	„Situația este și mai proastă pentru investițiile publice, care sunt mai mici cu 100 de milioane de lei față de anul 2018, anul cu cele mai scăzute investiții din ultimii 15 ani.”	FALS	Raluca Turcan	Economie
Procedura (n.r. – de revocare din funcție a aleșilor condamnați definitiv) nu ţine de o acţiune a Instituţiei Prefectului	„Noi lucrăm potrivit unei proceduri. Procedura nu ţine de o acţiune a Instituţiei Prefectului, ci ţine de autoritatea locală. Acolo se află un secretar de comună, care este responsabil cu legalitatea.”	PARȚIAL FALS	Nicuşor Halici	Justitie
Tot ce facem ca parlamentari este trafic de influență	“[…] tot ce facem ca parlamentari este trafic de influență. Cu această ocazie, să ne uităm atent și la Legea 78/ 2000, pentru că aceasta este chestiunea care ne creează dificultăți în activitatea noastră de parlamentari – orice telefon pe care îl dați ca să ajutați o primărie din colegiul dumneavoastră este trafic de influență.”	FALS	Viorel Hrebenciuc	Justitie
Nu am cerut aviz, faceţi confuzie, aviz ar trebui luat doar privind legile care vizează justiţia, 304, 305, 317, ne trebuie doar un punct de vedere, îl avem de săptămâna trecută, în care ne spuneau că nu sunt de acord.	Reporter: De ce aţi (mai, n.r.) cerut aviz de la CSM (pentru OUG, n.r.), care se întruneşte mâine? Florin Iordache: Nu am cerut aviz, faceţi confuzie, aviz ar trebui luat doar privind legile care vizează justiţia, 304, 305, 317, ne trebuie doar un punct de vedere, îl avem de săptămâna trecută, în care ne spuneau că nu sunt de acord.	FALS	Florin Iordache	Politica
În general, legislația electorală ar trebui să nu fie modificată, să avem un registru electoral extrem, extrem de clar, astfel încât să știm cu toții, așa cum e în statele civilizate, care e data alegerilor, care este anul alegerilor, nu să modificăm legislația electorală ori de câte ori ne convine sau convine unui partid aflat la guvernare.	În general, legislația electorală ar trebui să nu fie modificată, să avem un registru electoral extrem, extrem de clar, astfel încât să știm cu toții, așa cum e în statele civilizate, care e data alegerilor, care este anul alegerilor, nu să modificăm legislația electorală ori de câte ori ne convine sau convine unui partid aflat la guvernare.	PARȚIAL ADEVĂRAT	Alfred Simonis	Politica
Intrarea pe o impozitare regresivă, […] plătești cu atât mai puțin impozit cu cât caștigi mai puțin	Intrarea pe o impozitare regresivă, […] plătești cu atât mai puțin impozit cu cât caștigi mai puțin	FALS	Klaus Iohannis	Finante
(...) Eu, până la ora asta, nu am primit motivarea. Au trecut șapte luni de zile. Aștept de șapte luni de zile să merg la CEDO, dar nu pot pentru că nu am primit motivarea (...) Dacă mă mai primește, că la CEDO mergi în primele șase luni de la condamnare	”(…) Eu, până la ora asta, nu am primit motivarea. Au trecut șapte luni de zile. Aștept de șapte luni de zile să merg la CEDO, dar nu pot pentru că nu am primit motivarea. (Întrebarea moderatorului: Veți merge la CEDO?, n.n.) Dacă mă mai primește, că la CEDO mergi în primele șase luni de la condamnare”.	PARȚIAL FALS	Liviu Dragnea	Justitie
,, Nu am făcut calculele, lucrul cel mai important e că am redus în total cu 30% finanțarea pentru partidele politice.	,E un amendament care a fost aprobat la legea bugetului de stat, un amendament care a scăzut finanțarea, de exemplu pentru PSD. Nu am făcut calculele, lucrul cel mai important e că am redus în total cu 30% finanțarea pentru partidele politice. Nu știu către cine se duc banii.”	ADEVĂRAT	Ludovic Orban	Finante
"Comisia de la Veneţia a lăudat „separaţia carierelor"" judecătorilor de a procurorilor, prin transferarea competenţelor de numiri de la plen la cele două secţii ale CSM. [...] O altă modificare contestată, dar lăudată de Comisia de la Veneţia, a fost scoaterea Preşedintelui din procedura de numire la conducerea Înaltei Curţi de Casaţie si Justiţie”"	"Comisia de la Veneţia a lăudat „separaţia carierelor"" judecătorilor de a procurorilor, prin transferarea competenţelor de numiri de la plen la cele două secţii ale CSM. [...] O altă modificare contestată, dar lăudată de Comisia de la Veneţia, a fost scoaterea Preşedintelui din procedura de numire la conducerea Înaltei Curţi de Casaţie si Justiţie”"	PARȚIAL FALS	Florin Iordache	Justitie
"Bugetul Primăriei București e dezechilibrat și veniturile sunt mult mai mici decât cheltuielile."""	"Bugetul Primăriei București e dezechilibrat și veniturile sunt mult mai mici decât cheltuielile."""	PARȚIAL ADEVĂRAT	Nicușor Dan	Finante
85% dintre procurori și 72% dintre judecători s-au pronunțat pentru desființarea SIIJ.	85% dintre procurori și 72% dintre judecători s-au pronunțat pentru desființarea SIIJ.	TRUNCHIAT	Silviu Dehelean	Justitie
Deşi în România peste 51% dintre cetăţeni sunt femei, reprezentarea lor rămâne una dintre cele mai scăzute din Uniunea Europeană – cca 18% femei deputat şi senator, ceea ce face cu atât mai necesară garantarea legislativă a parităţii în mediul politic şi administrativ.	Deşi în România peste 51% dintre cetăţeni sunt femei, reprezentarea lor rămâne una dintre cele mai scăzute din Uniunea Europeană – cca 18% femei deputat şi senator, ceea ce face cu atât mai necesară garantarea legislativă a parităţii în mediul politic şi administrativ.	ADEVĂRAT	Cristina Iurișniți	Politica
„ [...] Banca Națională a României confirmă că guvernul Cîțu a dus România în faliment și că se va înregistra o prăbușire economică în primul trimestru al acestei guvernări”.	„BNR confirmă eșecul economic al guvernării Cîțu pentru primul trimestru.În timp ce premierul Cîțu face declarații halucinante despre creșterea economică din primele luni ale acestui an, Banca Națională a României confirmă că guvernul Cîțu a dus România în faliment și că se va înregistra o prăbușire economică în primul trimestru al acestei guvernări”.	FALS	Claudiu Manda	Economie
„(…)acum sunt vreo 50 de excepții la cota unică, deci noi nu mai avem cotă unică”.	„Eu nu am exclus menținerea cotei unice, fiindcă este un instrument mult mai ușor de colectat. (…) Dacă am introduce acum adevărata cotă unică, fiindcă acum sunt vreo 50 de excepții la cota unică, deci noi nu mai avem cotă unică, (…) în acest moment ar fi o mărire de taxe”.	TRUNCHIAT	Marcel Ciolacu	Finante
Este adevărat că eu, ca ministru al Justiției, puteam foarte simplu ca propunerile de modificare pe care le-am formulat să le inserez în proiectul de lege, să le trimit la CSM, dumneavoastră, societatea nici să nu cunoască acest lucru, după care să aflați conținutul, să vă vedeți în fața unui fapt împlinit. Asta e tehnica, asta e regula. Așa ați văzut de fiecare dată. Ai proiectul de lege, avizare, modificări, îl pui pe circuit și îl trimiți la Guvern și Parlament.	Este adevărat că eu, ca ministru al Justiției, puteam foarte simplu ca propunerile de modificare pe care le-am formulat să le inserez în proiectul de lege, să le trimit la CSM, dumneavoastră, societatea nici să nu cunoască acest lucru, după care să aflați conținutul, să vă vedeți în fața unui fapt împlinit. Asta e tehnica, asta e regula. Așa ați văzut de fiecare dată. Ai proiectul de lege, avizare, modificări, îl pui pe circuit și îl trimiți la Guvern și Parlament.	FALS	Tudorel Toader	Politica
„Deficitul bugetar în primele două luni ale anului a explodat la 12,7 miliarde lei, cu 4,6 miliarde lei mai mult față de aceeași perioadă a anului trecut.”	„Deficitul bugetar în primele două luni ale anului a explodat la 12,7 miliarde lei, cu 4,6 miliarde lei mai mult față de aceeași perioadă a anului trecut.”	PARȚIAL ADEVĂRAT	Gabriela Firea	Economie
Numărul angajaților la stat a crescut cu aproape 22.000 în ultimul an. La nivel de ministere, PNL a angajat de aproape 17 ori mai mulți oameni decât PSD.	Numărul angajaților la stat a crescut cu aproape 22.000 în ultimele 12 luni, după scoaterea USR de la guvernare. În ultimii 7 ani, numărul angajaților la stat a tot crescut. În total cu peste 70.000. Așa strânge guvernul PSD-PNL cureaua în pragul crizei. După o scădere de aproape 7.000 de angajați în 2021, PSD-PNL au recuperat de trei ori mai mult într-un singur an. Anul ăsta au atins un record de angajări la stat. O să arunce vina între ei, dar amândouă partidele sunt vinovate pentru desfrâul ăsta. La nivel de ministere, în ultimul an, PNL a angajat de aproape 17 ori mai mulți oameni decât PSD. O creștere de 5.466 de angajați la ministerele PNL față de 326 la ministerele PSD. Toate datele sunt verificabile. Septembrie 2021 la septembrie 2022. Numărul angajaților la stat a crescut cu aproape 22.000 în ultimul an. La nivel de ministere, PNL a angajat de aproape 17 ori mai mulți oameni decât PSD.	PARȚIAL ADEVĂRAT	Claudiu Năsui	Politica
(...) toți refugiații ucrainieni vor fi români cu acte în regulă!Nici măcar nu mai se solicită ca aceștia să vorbească limba română!	Prin acest proiect de lege votat azi, plx 382/2024, cei 800.000 de evrei ai lui Simion, vor primi cetățenia română, toți migranții impuși de UE și transferați din Austria vor deveni români, toți refugiații ucraineni vor fi români cu acte în regulă! Nici măcar nu mai se solicită ca aceștia să vorbească limba română!	FALS	Mihai Lasca	Politica
„Știți că în Germania nu este prevăzut instrumentul referendumului. Germania care a făcut experiența nazistă, după ce a făcut noua Constituție, a evitat să pună acest instrument la îndemâna politicienilor. Pentru că ce fac președinții? Președinții vor să sară peste vot, peste Parlament, peste partide, peste instituții și se consultă cu cine? Cu poporul”	„Știți că în Germania nu este prevăzut instrumentul referendumului. Germania care a făcut experiența nazistă, după ce a făcut noua Constituție, a evitat să pună acest instrument la îndemâna politicienilor. Pentru că ce fac președinții? Președinții vor să sară peste vot, peste Parlament, peste partide, peste instituții și se consultă cu cine? Cu poporul”	PARȚIAL FALS	Călin Popescu Tăriceanu	Externe
